source_reference_id,source_type,publisher_or_owner,title,year,language,geography,source_role,artifact_type,access_path,notes,status
src_ipcc_ar6_gwp,publication,IPCC,Climate Change 2021 The Physical Science Basis Table 7.SM.7 GWP values,2021,English,global,gwp_reference,pdf,https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Full_Report.pdf,Use for AR6 100-year GWP values incl. CO2 CH4 N2O and F-gases,active
src_ghg_protocol_corporate_standard,publication,Greenhouse Gas Protocol,Corporate Standard Revised Edition,2004,English,global,reporting_standard,web,https://ghgprotocol.org/corporate-standard,Core standard for organizational boundaries and activity x factor logic,active
src_ghg_protocol_scope2_guidance,publication,Greenhouse Gas Protocol,Scope 2 Guidance,2015,English,global,scope2_standard,web,https://ghgprotocol.org/scope_2_guidance,Reference for location-based and market-based electricity accounting,active
src_ghg_protocol_scope3_standard,publication,Greenhouse Gas Protocol,Scope 3 Corporate Value Chain Accounting and Reporting Standard,2011,English,global,scope3_standard,web,https://ghgprotocol.org/standards/scope-3-standard,Use when broadening from CS operations to value-chain accounting,active
src_ghg_protocol_scope3_calc_guidance,publication,Greenhouse Gas Protocol,Technical Guidance for Calculating Scope 3 Emissions,2013,English,global,scope3_calculation_guidance,pdf,https://ghgprotocol.org/sites/default/files/standards/Scope3_Calculation_Guidance_0.pdf,Detailed calculation guidance for Scope 3 categories,active
src_ghg_protocol_gwp_values,publication,Greenhouse Gas Protocol,Global Warming Potential Values,2016,English,global,gwp_reference,web,https://ghgprotocol.org/sites/default/files/Global-Warming-Potential-Values%20%28Feb%2016%202016%29_1.pdf,Older GWP reference listed in workbook literature keep only for comparison not default,review
src_uba_grid_factor_2024,publication,Umweltbundesamt,Entwicklung der spezifischen Treibhausgas-Emissionen des deutschen Strommix in den Jahren 1990 bis 2024,2025,German,DE,electricity_factor,web,https://www.umweltbundesamt.de/publikationen/entwicklung-der-spezifischen-treibhausgas-11,Use for Germany electricity mix factor references in project docs,active
src_epa_egrid_reference,publication,U.S. Environmental Protection Agency,Greenhouse Gas Equivalencies Calculator Calculations and References,2025,English,US,electricity_factor,web,https://www.epa.gov/energy/greenhouse-gas-equivalencies-calculator-calculations-and-references,U.S. electricity factor orientation in project docs via EPA eGRID logic,active
src_defra_conversion_factors_2021,publication,UK Government DEFRA,Greenhouse gas reporting conversion factors 2021,2021,English,UK,emission_factor_catalog,web,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021,Referenced in workbook emissions lists for fuels and bioenergy,active
src_dgcn_klimamanagement,publication,DGCN,Einfuhrung Klimamanagement Schritt fur Schritt zu einem effektiven Klimamanagement in Unternehmen,2021,German,DE,methodology_orientation,pdf,https://www.ihk-muenchen.de/ihk/Klimapolitik/Klimamanagement-Schritt-f%C3%BCr-Schritt-einf%C3%BChren_GCN.pdf,Workbook literature entry practical process guidance,active
src_econsense_sbt_paper,publication,Econsense,Accelerating the Race to Net Zero How Companies Set Implement and Benefit from Science-Based Targets,2021,English,global,target_setting,pdf,https://econsense.de/app/uploads/2021/04/econsense_SBTi-Paper.pdf,Useful for target framing not direct factor selection,active
src_unfccc_race_to_zero,publication,UNFCCC,Race to Zero Campaign,2021,English,global,target_setting,web,https://racetozero.unfccc.int/,Strategic orientation only not a calculation factor source,active
src_customer_service_co2_model,internal_doc,Project docs,Customer Service CO2 Impact Model,2026,English,project,internal_methodology,markdown,docs/methodology/customer-service-co2-model.md,Current operational model boundary logic and formulas,active
src_co2_mapping,internal_doc,Project docs,CO2 Mapping,2026,English,project,internal_methodology,markdown,docs/methodology/co2-mapping.md,Maps operational inputs to derived CO2 KPIs,active
src_assumptions_and_evidence,internal_doc,Project docs,Assumptions And Evidence,2026,English,project,assumption_register,markdown,docs/methodology/assumptions-and-evidence.md,Traffic light quality logic for current assumptions,active
src_canonical_schema_v01,internal_doc,Project docs,Canonical Schema v0.1,2026,English,project,internal_schema,markdown,docs/schemas/canonical-schema-v0.1.md,Current operational canonical schema to be extended not replaced,active
